"State","Date","Confirmed","Deaths"
"Rhode Island","2021-07-21",153269,2738
"South Carolina","2021-07-21",604650,9870
"South Dakota","2021-07-21",124960,2043
"Tennessee","2021-07-21",877850,12642
"Texas","2021-07-21",3057874,52904
"Utah","2021-07-21",425603,2424
"Vermont","2021-07-21",24609,259
"Virginia","2021-07-21",686884,11491
"Washington","2021-07-21",463537,6063
"West Virginia","2021-07-21",165398,2920
"Wisconsin","2021-07-21",681168,8229
"Wyoming","2021-07-21",63988,766
"Alabama","2021-07-22",565510,11468
"Alaska","2021-07-22",73374,382
"Arizona","2021-07-22",912653,18137
"Arkansas","2021-07-22",370326,6035
"California","2021-07-22",3952761,64235
"Colorado","2021-07-22",568597,6901
"Connecticut","2021-07-22",351825,8286
"Delaware","2021-07-22",110573,1697
"District of Columbia","2021-07-22",49930,1146
"Florida","2021-07-22",2450344,38388
"Georgia","2021-07-22",1155208,21605
"Hawaii","2021-07-22",39892,527
"Idaho","2021-07-22",198014,2180
"Illinois","2021-07-22",1406459,25831
"Indiana","2021-07-22",763688,13963
"Iowa","2021-07-22",376673,6170
"Kansas","2021-07-22",326674,5219
"Kentucky","2021-07-22",473503,7308
"Louisiana","2021-07-22",509716,10889
"Maine","2021-07-22",69781,891
"Maryland","2021-07-22",465038,9798
"Massachusetts","2021-07-22",714556,18041
"Michigan","2021-07-22",1004630,21124
"Minnesota","2021-07-22",609016,7741
"Mississippi","2021-07-22",331863,7494
"Missouri","2021-07-22",662692,9954
"Montana","2021-07-22",115143,1695
"Nebraska","2021-07-22",226606,2284
"Nevada","2021-07-22",348040,5797
"New Hampshire","2021-07-22",100106,1385
"New Jersey","2021-07-22",1031346,26564
"New Mexico","2021-07-22",208243,4394
"New York","2021-07-22",2131535,53588
"North Carolina","2021-07-22",1029931,13562
"North Dakota","2021-07-22",111127,1569
"Ohio","2021-07-22",1120120,20631
"Oklahoma","2021-07-22",469982,7454
"Oregon","2021-07-22",214263,2834
"Pennsylvania","2021-07-22",1223026,27819
"Rhode Island","2021-07-22",153355,2739
"South Carolina","2021-07-22",605590,9876
"South Dakota","2021-07-22",124960,2043
"Tennessee","2021-07-22",879262,12657
"Texas","2021-07-22",3064743,52935
"Utah","2021-07-22",426418,2425
"Vermont","2021-07-22",24647,259
"Virginia","2021-07-22",687550,11493
"Washington","2021-07-22",466099,6066
"West Virginia","2021-07-22",165524,2934
"Wisconsin","2021-07-22",681562,8234
"Wyoming","2021-07-22",64141,766
"Alabama","2021-07-23",567243,11472
"Alaska","2021-07-23",73753,384
"Arizona","2021-07-23",914132,18144
"Arkansas","2021-07-23",372313,6041
"California","2021-07-23",3955020,64228
"Colorado","2021-07-23",569289,6910
"Connecticut","2021-07-23",352037,8286
"Delaware","2021-07-23",110638,1698
"District of Columbia","2021-07-23",49973,1146
"Florida","2021-07-23",2523510,38670
"Georgia","2021-07-23",1157705,21614
"Hawaii","2021-07-23",40125,527
"Idaho","2021-07-23",198296,2183
"Illinois","2021-07-23",1407929,25834
"Indiana","2021-07-23",764448,13965
"Iowa","2021-07-23",376673,6170
"Kansas","2021-07-23",328185,5241
"Kentucky","2021-07-23",474444,7312
"Louisiana","2021-07-23",512843,10900
"Maine","2021-07-23",69835,891
"Maryland","2021-07-23",465326,9801
